uid	up_name	status	items	reason	route
1132916	有点在李	ok	30		http://136.109.32.50:1200/bilibili/user/video/1132916?embed=0
1278118266	科技老男孩	ok	30		http://136.109.32.50:1200/bilibili/user/video/1278118266?embed=0
12890453	程序员鱼皮	ok	30		http://136.109.32.50:1200/bilibili/user/video/12890453?embed=0
1318868	Hucci写代码	ok	30		http://136.109.32.50:1200/bilibili/user/video/1318868?embed=0
142459613	AI-seeker	ok	30		http://136.109.32.50:1200/bilibili/user/video/142459613?embed=0
14848367	Xuan_酱	ok	30		http://136.109.32.50:1200/bilibili/user/video/14848367?embed=0
16433002	隔壁的程序员老王	ok	30		http://136.109.32.50:1200/bilibili/user/video/16433002?embed=0
1845434732	产品君	ok	30		http://136.109.32.50:1200/bilibili/user/video/1845434732?embed=0
1995424953	在下莫老师	ok	30		http://136.109.32.50:1200/bilibili/user/video/1995424953?embed=0
281894739	源宝AIGC	ok	30		http://136.109.32.50:1200/bilibili/user/video/281894739?embed=0
282497876	K森动画	ok	30		http://136.109.32.50:1200/bilibili/user/video/282497876?embed=0
285286947	橘鸦Juya	ok	30		http://136.109.32.50:1200/bilibili/user/video/285286947?embed=0
28554995	小天fotos	ok	30		http://136.109.32.50:1200/bilibili/user/video/28554995?embed=0
29959830	Topbook	ok	30		http://136.109.32.50:1200/bilibili/user/video/29959830?embed=0
302188068	小白debug	ok	30		http://136.109.32.50:1200/bilibili/user/video/302188068?embed=0
312249633	卡普迪姆	ok	21		http://136.109.32.50:1200/bilibili/user/video/312249633?embed=0
314076440	鱼C-小甲鱼	ok	30		http://136.109.32.50:1200/bilibili/user/video/314076440?embed=0
319759808	神秘的鱼仔	ok	30		http://136.109.32.50:1200/bilibili/user/video/319759808?embed=0
325864133	飞天闪客	ok	30		http://136.109.32.50:1200/bilibili/user/video/325864133?embed=0
3493082576193678	infinite灵感港	ok	30		http://136.109.32.50:1200/bilibili/user/video/3493082576193678?embed=0
3494362365299578	直男山禾	ok	30		http://136.109.32.50:1200/bilibili/user/video/3494362365299578?embed=0
3494372656024120	智码侃侃Tom	ok	13		http://136.109.32.50:1200/bilibili/user/video/3494372656024120?embed=0
3546566589679687	废才俱乐部Club	ok	30		http://136.109.32.50:1200/bilibili/user/video/3546566589679687?embed=0
3546572358945017	是花子呀_	ok	30		http://136.109.32.50:1200/bilibili/user/video/3546572358945017?embed=0
3546618599049530	丁师兄大模型	ok	30		http://136.109.32.50:1200/bilibili/user/video/3546618599049530?embed=0
3546627946056357	Next蔡蔡	ok	30		http://136.109.32.50:1200/bilibili/user/video/3546627946056357?embed=0
3546779786151966	烟神殿副殿主	ok	30		http://136.109.32.50:1200/bilibili/user/video/3546779786151966?embed=0
3546801785277271	算错数	ok	9		http://136.109.32.50:1200/bilibili/user/video/3546801785277271?embed=0
36269379	海拉鲁编程客	ok	19		http://136.109.32.50:1200/bilibili/user/video/36269379?embed=0
365189583	芝士丨情报局	ok	30		http://136.109.32.50:1200/bilibili/user/video/365189583?embed=0
3690975641733383	Ai商业慢谈	ok	9		http://136.109.32.50:1200/bilibili/user/video/3690975641733383?embed=0
382665493	酒嘉年	ok	24		http://136.109.32.50:1200/bilibili/user/video/382665493?embed=0
385670211	秋芝2046	ok	30		http://136.109.32.50:1200/bilibili/user/video/385670211?embed=0
40433405	科技狐	ok	30		http://136.109.32.50:1200/bilibili/user/video/40433405?embed=0
445033268	不正经的前端啊	ok	13		http://136.109.32.50:1200/bilibili/user/video/445033268?embed=0
46377861	神烦老狗	ok	30		http://136.109.32.50:1200/bilibili/user/video/46377861?embed=0
491266931	GenJi是真想教会你AI	ok	30		http://136.109.32.50:1200/bilibili/user/video/491266931?embed=0
49746395	GenJi是真想教会你	ok	30		http://136.109.32.50:1200/bilibili/user/video/49746395?embed=0
50247550	清华姜学长	ok	30		http://136.109.32.50:1200/bilibili/user/video/50247550?embed=0
504835337	大老湿gg	ok	30		http://136.109.32.50:1200/bilibili/user/video/504835337?embed=0
507808505	孟健AI编程	ok	30		http://136.109.32.50:1200/bilibili/user/video/507808505?embed=0
519463151	新智元AIEra	ok	30		http://136.109.32.50:1200/bilibili/user/video/519463151?embed=0
523335868	源宝AI工作室	ok	29		http://136.109.32.50:1200/bilibili/user/video/523335868?embed=0
523995133	林粒粒呀	ok	30		http://136.109.32.50:1200/bilibili/user/video/523995133?embed=0
526143269	MarsLUL	ok	30		http://136.109.32.50:1200/bilibili/user/video/526143269?embed=0
625267185	零度解说	ok	30		http://136.109.32.50:1200/bilibili/user/video/625267185?embed=0
65564239	IT咖啡馆	ok	30		http://136.109.32.50:1200/bilibili/user/video/65564239?embed=0
80569724	杜雨说AI	ok	30		http://136.109.32.50:1200/bilibili/user/video/80569724?embed=0
85645193	碳硅同传	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/85645193?embed=0
