uid	up_name	status	items	reason	route
1132916	有点在李	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/1132916
1278118266	科技老男孩	ok	30		http://136.109.32.50:1200/bilibili/user/video/1278118266
12890453	程序员鱼皮	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/12890453
1318868	Hucci写代码	ok	30		http://136.109.32.50:1200/bilibili/user/video/1318868
142459613	AI-seeker	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/142459613
14848367	Xuan_酱	ok	30		http://136.109.32.50:1200/bilibili/user/video/14848367
16433002	隔壁的程序员老王	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/16433002
1845434732	产品君	ok	30		http://136.109.32.50:1200/bilibili/user/video/1845434732
1995424953	在下莫老师	ok	30		http://136.109.32.50:1200/bilibili/user/video/1995424953
281894739	源宝AIGC	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/281894739
282497876	K森动画	ok	30		http://136.109.32.50:1200/bilibili/user/video/282497876
285286947	橘鸦Juya	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/285286947
28554995	小天fotos	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/28554995
29959830	Topbook	ok	30		http://136.109.32.50:1200/bilibili/user/video/29959830
302188068	小白debug	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/302188068
312249633	卡普迪姆	ok	21		http://136.109.32.50:1200/bilibili/user/video/312249633
314076440	鱼C-小甲鱼	ok	30		http://136.109.32.50:1200/bilibili/user/video/314076440
319759808	神秘的鱼仔	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/319759808
325864133	飞天闪客	ok	30		http://136.109.32.50:1200/bilibili/user/video/325864133
3493082576193678	infinite灵感港	ok	30		http://136.109.32.50:1200/bilibili/user/video/3493082576193678
3494362365299578	直男山禾	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/3494362365299578
3494372656024120	智码侃侃Tom	ok	13		http://136.109.32.50:1200/bilibili/user/video/3494372656024120
3546566589679687	废才俱乐部Club	ok	30		http://136.109.32.50:1200/bilibili/user/video/3546566589679687
3546572358945017	是花子呀_	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/3546572358945017
3546618599049530	丁师兄大模型	ok	30		http://136.109.32.50:1200/bilibili/user/video/3546618599049530
3546627946056357	Next蔡蔡	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/3546627946056357
3546779786151966	烟神殿副殿主	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/3546779786151966
3546801785277271	算错数	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/3546801785277271
36269379	海拉鲁编程客	ok	19		http://136.109.32.50:1200/bilibili/user/video/36269379
365189583	芝士丨情报局	ok	30		http://136.109.32.50:1200/bilibili/user/video/365189583
3690975641733383	Ai商业慢谈	ok	9		http://136.109.32.50:1200/bilibili/user/video/3690975641733383
382665493	酒嘉年	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/382665493
385670211	秋芝2046	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/385670211
40433405	科技狐	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/40433405
445033268	不正经的前端啊	ok	13		http://136.109.32.50:1200/bilibili/user/video/445033268
46377861	神烦老狗	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/46377861
491266931	GenJi是真想教会你AI	ok	30		http://136.109.32.50:1200/bilibili/user/video/491266931
49746395	GenJi是真想教会你	ok	30		http://136.109.32.50:1200/bilibili/user/video/49746395
50247550	清华姜学长	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/50247550
504835337	大老湿gg	ok	30		http://136.109.32.50:1200/bilibili/user/video/504835337
507808505	孟健AI编程	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/507808505
519463151	新智元AIEra	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/519463151
523335868	源宝AI工作室	ok	29		http://136.109.32.50:1200/bilibili/user/video/523335868
523995133	林粒粒呀	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/523995133
526143269	MarsLUL	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/526143269
625267185	零度解说	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/625267185
65564239	IT咖啡馆	fail_352	0	risk_control	http://136.109.32.50:1200/bilibili/user/video/65564239
80569724	杜雨说AI	ok	30		http://136.109.32.50:1200/bilibili/user/video/80569724
85645193	碳硅同传	ok	28		http://136.109.32.50:1200/bilibili/user/video/85645193
